participant_id,condition,question_id,decision,ai_correct,timestamp,latency_ms
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,9,accept,false,2026-03-22T18:43:47.174Z,178
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,10,accept,true,2026-03-22T18:43:47.337Z,161
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,11,accept,true,2026-03-22T18:43:47.510Z,166
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,12,accept,false,2026-03-22T18:43:47.681Z,180
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,13,accept,true,2026-03-22T18:43:47.889Z,203
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,14,accept,false,2026-03-22T18:43:48.084Z,197
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,15,accept,false,2026-03-22T18:43:48.280Z,191
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,16,accept,true,2026-03-22T18:43:48.456Z,178
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,17,accept,false,2026-03-22T18:43:48.653Z,196
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,18,accept,true,2026-03-22T18:43:48.836Z,184
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,19,accept,true,2026-03-22T18:43:49.028Z,190
ddb2f02f-449c-409e-919c-1f9e14bcf2ad,B,20,accept,true,2026-03-22T18:43:49.206Z,179
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,1,accept,true,2026-03-22T18:44:25.617Z,4899
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,2,reject,false,2026-03-22T18:44:26.842Z,1233
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,3,accept,true,2026-03-22T18:44:27.517Z,675
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,4,reject,false,2026-03-22T18:44:27.854Z,336
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,5,accept,true,2026-03-22T18:44:28.202Z,347
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,6,reject,true,2026-03-22T18:44:28.477Z,275
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,7,accept,false,2026-03-22T18:44:28.751Z,273
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,8,reject,true,2026-03-22T18:44:28.986Z,235
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,9,accept,false,2026-03-22T18:44:29.252Z,266
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,10,reject,true,2026-03-22T18:44:29.542Z,290
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,11,accept,true,2026-03-22T18:44:29.904Z,361
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,12,reject,false,2026-03-22T18:44:30.258Z,357
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,13,accept,true,2026-03-22T18:44:30.593Z,331
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,14,reject,false,2026-03-22T18:44:30.895Z,300
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,15,reject,false,2026-03-22T18:44:31.550Z,658
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,16,accept,true,2026-03-22T18:44:32.206Z,654
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,17,accept,false,2026-03-22T18:44:32.654Z,448
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,18,reject,true,2026-03-22T18:44:33.172Z,517
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,19,accept,true,2026-03-22T18:44:33.436Z,265
fdc13d68-d136-4a31-aa2f-d0a8b3daa3c2,A,20,reject,true,2026-03-22T18:44:33.651Z,216
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,1,accept,true,2026-03-22T19:11:21.861Z,8585
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,2,reject,false,2026-03-22T19:11:23.988Z,2181
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,3,accept,true,2026-03-22T19:11:26.079Z,2091
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,4,reject,false,2026-03-22T19:11:28.435Z,2352
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,5,accept,true,2026-03-22T19:11:30.427Z,1991
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,6,reject,true,2026-03-22T19:11:32.398Z,1973
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,7,accept,false,2026-03-22T19:11:34.225Z,1829
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,8,reject,true,2026-03-22T19:11:36.123Z,1895
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,9,accept,false,2026-03-22T19:11:38.339Z,2215
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,10,reject,true,2026-03-22T19:11:40.225Z,1883
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,11,accept,true,2026-03-22T19:11:42.125Z,1902
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,12,reject,false,2026-03-22T19:11:43.945Z,1821
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,13,accept,true,2026-03-22T19:11:45.857Z,1909
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,14,reject,false,2026-03-22T19:11:47.864Z,2008
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,15,accept,false,2026-03-22T19:11:49.584Z,1720
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,16,accept,true,2026-03-22T19:11:51.162Z,1577
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,17,accept,false,2026-03-22T19:11:53.154Z,1990
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,18,accept,true,2026-03-22T19:11:55.071Z,1916
